goos: linux
goarch: amd64
pkg: github.com/qursa-uc3m/dnssec_pqc_plugin/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500T
BenchmarkSign
BenchmarkSign/RSA-SHA256
BenchmarkSign/Ed25519-12            	       1	     32577 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     47149 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     53277 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     49129 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     37642 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     31662 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     31941 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     49297 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     35003 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     31531 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     33134 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     28546 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     38276 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     27306 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     30488 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     36409 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     40143 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     28531 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     33103 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     26142 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     30927 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     54940 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     33859 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     34763 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     49856 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     43325 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     42742 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     54375 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     49525 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     40971 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     69034 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     57612 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     34660 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     34726 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     45358 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     37834 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     35498 ns/op	    4888 B/op	      17 allocs/op
